2017-09-01_15:35:24('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-09-01_15:36:17(('SUCCESS: Page', '"Introduction to Veeam Backup for Office 365 (v1)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '39/685')
2017-09-01_15:36:19(('SUCCESS: Page', '"Remove Hyper-V hosts (if they were discovered suddenty) EventID 1106 VES log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '40/685')
2017-09-01_15:36:20(('SUCCESS: Page', '"How to make a conference call on SPB PBX" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '41/685')
2017-09-01_15:36:21(('SUCCESS: Page', '"Windows Event Log Provider is still unable to open the Veeam VMware\\Collector event log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '42/685')
2017-09-01_15:36:22(('SUCCESS: Page', '"Host stuck in MMode (Morning Coffee Dashboard, bonus scripts)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '43/685')
2017-09-01_15:36:27(('SUCCESS: Page', '"Job with SharePoint server with AAIP enabled may fail with \'System.OutOfMemoryException\'" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '44/685')
2017-09-01_15:36:28(('SUCCESS: Page', '"3. Veeam vs SQL database" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '45/685')
2017-09-01_15:36:29(('SUCCESS: Page', '"MEA" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '46/685')
2017-09-01_15:36:31(('SUCCESS: Page', '"Failed to create web site" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '47/685')
2017-09-01_15:36:32(('SUCCESS: Page', '"Order Processing Rules" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '48/685')
2017-09-01_15:36:36(('SUCCESS: Page', '"VSS processing in Hyper-V" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '49/685')
2017-09-01_15:36:37(('SUCCESS: Page', '"SQL Basics and Veeam Database" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '50/685')
2017-09-01_15:36:38(('SUCCESS: Page', '"4. Инстанции SQL" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '51/685')
2017-09-01_15:36:39(('SUCCESS: Page', '"Linux Servers SSH issue: "no tty present and no askpass program specified"" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '52/685')
2017-09-01_15:36:40(('SUCCESS: Page', '"7.2 Veeam DB config %26 restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '53/685')
2017-09-01_15:36:42(('SUCCESS: Page', '"Renewal Orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '54/685')
2017-09-01_15:36:43(('SUCCESS: Page', '"Search everywhere in the Veeam DB (ID or TEXT)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '55/685')
2017-09-01_15:36:45(('SUCCESS: Page', '"Homework: Deployment lab" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '56/685')
2017-09-01_15:36:45(('SUCCESS: Page', '"8. Upgrading SQL 2005 to SQL 2008/2012 etc." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '57/685')
2017-09-01_15:36:48(('SUCCESS: Page', '"LEAD" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '58/685')
2017-09-01_15:36:51(('SUCCESS: Page', '"Opening a case with Microsoft" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '59/685')
2017-09-01_15:36:52(('SUCCESS: Page', '"Troubleshooting VEAD with Esentutl" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '60/685')
2017-09-01_15:36:54(('SUCCESS: Page', '"How Veeam ONE calculates values used in Reports" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '61/685')
2017-09-01_15:36:55(('SUCCESS: Page', '"IBM TS 3xxx Tape Library inventory fails: Exception occurred during PrepareTape. No media in drive." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '62/685')
2017-09-01_15:36:56(('SUCCESS: Page', '"ASIA ANZ general Rules and Exceptions" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '63/685')
2017-09-01_15:36:59(('SUCCESS: Page', '"DataCore Bug: Storage snapshot is not removed" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '64/685')
2017-09-01_15:37:01(('SUCCESS: Page', '"All VMs added via SCVMM fail: An existing connection was forcibly closed by the remote host" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '65/685')
2017-09-01_15:37:02(('SUCCESS: Page', '"Networking 1. Definition. Equipment. OSI. TCP/IP." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '66/685')
2017-09-01_15:37:03(('SUCCESS: Page', '"SureBackup" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '67/685')
2017-09-01_15:37:04(('SUCCESS: Page', '"Vmware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '68/685')
2017-09-01_15:37:06(('SUCCESS: Page', '"Troubleshooting Exchange issues by Eseutil" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '69/685')
2017-09-01_15:37:07(('SUCCESS: Page', '"Types of rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '70/685')
2017-09-01_15:37:08(('SUCCESS: Page', '"Investigating error "The storage file was not verified."" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '71/685')
2017-09-01_15:37:09(('SUCCESS: Page', '"How to move Enterprise Manager to a new server" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '72/685')
2017-09-01_15:37:10(('SUCCESS: Page', '"OS typical builds and versions" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '73/685')
2017-09-01_15:37:10(('ERROR: Page', '"Vmware Sure Backup Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '73/685')
2017-09-01_15:37:12(('SUCCESS: Page', '"Feature request: add UI option to select NetApp volumes for daily rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '74/685')
2017-09-01_15:37:15(('SUCCESS: Page', '"Found Bugs v7" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '75/685')
2017-09-01_15:37:15(('ERROR: Page', '"Vmware Restore File-Level Other OS" from platform', 'Confluence', 'has no text'), 'migrated in total:', '75/685')
2017-09-01_15:37:16(('SUCCESS: Page', '"If Veeam is monitored by MP, SQL server running Veeam database may consume lot of CPU" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '76/685')
2017-09-01_15:37:18(('SUCCESS: Page', '"Recovering failed Instant Recovery session" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '77/685')
2017-09-01_15:37:22(('SUCCESS: Page', '"Resolving "There is an item with the specified name and another type" in case of Cloud Backup job (case 02008597)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '78/685')
